_id,catName,childID,parentID
0,"楼宇机构",,
19,"出行住宿","[ 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19 ]",
20,,"[ 20, 20, 20, 20, 20, 20, 20 ]",19
21,"飞机场",,19
22,"火车站",,19
28,"飞机票代售点",,20
29,"火车票代售点",,20
30,"长途汽车票代售点",,20
31,"船票代售点",,20
32,"公交卡／月票代售点",,20
33,"公园景点售票处",,20
34,"港口码头",,19
35,"长途汽车站",,19
36,"地铁站",,19
37,"轻轨站",,19
38,"公交车站",,19
44,"楼宇机构","[ 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44 ]",
45,"产业园区",,44
46,"楼宇",,44
47,"住宅区",,44
48,"楼宇大门",,44
49,"无中心点楼宇大门",,44
51,"校园生活","[ 51, 51, 51, 51, 51, 51, 51 ]",
52,"高等院校",,51
53,"成人教育",,51
54,"职业技术学校",,51
55,"中学",,51
56,"小学",,51
57,"幼儿园",,51
59,"电视台",,44
60,"电台",,44
61,"报社",,44
62,"杂志社",,44
63,"出版社",,44
64,"餐饮美食","[ 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64 ]",
65,"咖啡厅",,64
66,"茶艺馆",,64
67,"甜品店",,64
68,"快餐厅",,64
69,"中餐厅","[ 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69 ]",64
70,"综合酒楼",,69
71,"四川菜",,69
72,"广东菜",,69
73,"山东菜",,69
74,"江苏菜",,69
75,"浙江菜",,69
76,"上海菜",,69
77,"湖南菜",,69
78,"安徽菜",,69
79,"福建菜",,69
80,"北京菜",,69
81,"湖北菜",,69
82,"东北菜",,69
83,"云贵菜",,69
84,"西北菜",,69
85,"老字号",,69
86,"火锅店",,69
87,"特色／地方风味餐厅",,69
88,"海鲜酒楼",,69
89,"中式素餐馆",,69
90,"清真餐馆",,69
91,"台湾菜",,69
92,"潮州菜",,69
93,"外国餐厅","[ 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93 ]",64
94,"西餐厅",,93
95,"日本料理",,93
96,"韩国料理",,93
97,"法式菜品餐厅",,93
98,"意式菜品餐厅",,93
99,"泰国／越南菜品餐厅",,93
100,"地中海风格菜品",,93
101,"美式风味",,93
102,"印度风味",,93
103,"英国式菜品餐厅",,93
104,"牛扒店",,93
105,"俄国菜",,93
106,"葡国菜",,93
107,"德国菜",,93
108,"巴西菜",,93
109,"墨西哥菜",,93
110,"其他亚洲菜",,93
111,"休闲餐饮场所",,64
112,"糕饼店",,64
113,"冷饮店",,64
115,"购物服务","[ 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115, 115 ]",
116,"特色商业街",,115
117,"便民商店/便利店",,115
118,"超级市场",,115
119,"商场",,115
120,"小商品市场",,115
121,"旧货市场",,115
122,"个人用品/化妆品店",,115
123,"家具建材市场",,115
124,"专卖店","[ 124, 124, 124, 124, 124, 124, 124, 124, 124, 124, 124, 124, 124, 124, 124 ]",115
125,"书店",,124
126,"摄影器材店",,124
127,"音像店",,124
128,"儿童用品店",,124
129,"宠物用品店",,124
130,"礼品饰品店",,124
131,"珠宝首饰工艺品",,124
132,"眼镜店",,124
133,"自行车专卖店",,124
134,"古玩字画店",,124
135,"钟表店",,124
136,"烟酒专卖店",,124
137,"宝马生活方式",,124
138,"家电电子卖场",,115
139,"文化用品店",,115
140,"体育用品店",,115
141,"服装鞋帽皮具店",,115
148,"美容美发店",,19
149,"洗浴推拿场所",,19
150,"银行",,19
151,"电讯营业厅",,19
152,"ATM",,19
153,"加油站","[ 153, 153, 153, 153, 153, 153, 153 ]",19
154,"加油加气站",,19
155,"加气站",,19
156,"洗车场",,19
157,"汽车俱乐部",,19
158,"汽车销售",,19
159,"汽车维修",,19
160,"二手车交易",,19
161,"汽车租赁",,19
162,"医院",,19
163,"4S店",,19
169,"生活娱乐","[ 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169, 169 ]",
170,"KTV",,169
171,"台球厅",,169
172,"酒吧",,169
173,"游戏厅",,169
174,"迪厅",,169
175,"棋牌室",,169
176,"网吧",,169
178,"电影院",,169
179,"音乐厅",,169
180,"剧场",,169
181,"图书馆",,169
182,"博物馆",,169
183,"展览馆",,169
184,"美术馆",,169
185,"会展中心",,169
186,"科技馆",,169
187,"天文馆",,169
188,"文化宫",,169
189,"文艺团体",,169
190,"培训机构",,169
191,"科研机构",,169
192,"驾校",,169
193,"档案馆",,169
194,"公园户外","[ 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194, 194 ]",
195,"游乐场",,194
196,"公园",,194
197,"动物园",,194
198,"植物园",,194
199,"水族馆",,194
200,"水上活动中心",,194
201,"城市广场",,194
202,"公园广场",,194
203,"露营地",,194
204,"垂钓园",,194
205,"采摘园",,194
206,"高尔夫相关",,194
207,"度假疗养场所",,194
208,"休闲场所",,194
212,"六星级宾馆",,19
213,"五星级宾馆",,19
214,"四星级宾馆",,19
215,"三星级宾馆",,19
216,"经济型连锁酒店",,19
217,"旅馆招待所",,19
218,"青年旅舍",,19
219,"其他",,19
220,"运动场所",,194
221,"健身中心",,194
222,"溜冰场",,194
223,"跆拳道场馆",,194
224,"综合体育馆",,194
225,"乒乓球馆",,194
226,"网球场",,194
227,"羽毛球场",,194
228,"保龄球馆",,194
229,"篮球场馆",,194
230,"足球场",,194
231,"游泳馆",,194
232,"滑雪场",,194
233,"户外健身场所",,194
234,"海滨浴场",,194
235,"壁球场",,194
236,"马术俱乐部",,194
237,"赛马场",,194
239,"世界遗产",,194
240,"国家级景点",,194
241,"省级景点",,194
242,"海滩",,194
243,"纪念馆",,194
244,"寺庙道观",,194
245,"教堂",,194
246,"回教寺",,194
247,"餐饮美食",,64
248,"生活娱乐",,169
249,"购物服务",,115
250,"公园户外",,194
251,"出行住宿",,19
252,"楼宇机构",,44
253,"校园生活",,51
254,"售票处",,20
255,"专卖店",,124
256,"外国餐厅",,93
257,"中餐厅",,69
258,"公司","[ 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258 ]",
259,"工厂",,258
260,"其他","[ 260, 260 ]",
261,"公共厕所",,19
262,"停车场",,19
263,"公司",,258
265,"知名企业",,258
266,"三甲医院",,19
267,"收费站",,19
268,"自助",,64
269,"烧烤",,64
300,"活动",,
500,"未知分类",,
601,"地点","[ 601, 601 ]",
602,"摩托车销售",,19
603,"夜店",,169
604,"旅游咨询",,194
605,"赌场",,169
606,"社区服务",,19
607,"一般景点",,194
608,"法院",,44
609,"警察局",,44
610,"干洗店",,19
611,"照相馆",,19
613,"裁缝店",,19
614,"税务",,44
616,"维修机构",,19
617,"政府机构",,44
618,"消防",,44
620,"丧葬",,260
621,"邮局",,44
622,"医疗健康类公司",,258
623,"律师事务所",,44
624,"房屋销售",,115
625,"兽医",,19
627,"一般地点标志",,601
628,"著名地点",,601
629,"快递",,19
630,"电子商务公司",,258
631,"宠物店",,124
632,"教育出国类公司",,258
633,"商务服务类公司",,258
634,"IT类公司",,258
635,"消费电子类公司",,258
636,"通讯及服务类公司",,258
637,"房地产类公司",,258
638,"金融服务类公司",,258
639,"汽车交通类公司",,258
640,"服装服饰类公司",,258
641,"化妆卫浴用品类公司",,258
642,"家居装饰类公司",,258
643,"食品饮料类公司",,258
644,"工农贸易类公司",,258
645,"机构及其他类公司",,258
646,"文化体育类公司",,258
647,"熟食",,64
648,"零食",,64
649,"海南菜",,69
650,"江西菜",,69
651,"内蒙菜",,69
652,"山西菜",,69
653,"广西菜",,69
655,"河北菜",,69
656,"大门",,260
657,"中国石化",,153
658,"中国石油",,153
661,"加德士",,153
663,"中石油碧辟",,153
664,"中石化碧辟",,153
665,"道达尔",,153
667,"高速加油站服务区",,153
668,"诊所",,19
670,"专科医院",,19
